scenorio,truck,gross,net,fromid,toid
1,11t,0.805861545,0.594095033,85,53
1,11t,0.765789891,0.53178521,85,67
1,11t,0.775031244,0.566961405,85,43
1,11t,0.80595365,0.570256193,85,83
1,11t,0.884895051,0.636901505,85,51
1,11t,0.744872932,0.523580782,85,57
1,11t,0.80773887,0.544901574,85,68
1,11t,0.777661301,0.546979807,85,42
1,11t,0.809487068,0.578395014,85,73
1,11t,0.728000261,0.536105664,85,77
1,11t,0.841522589,0.597820627,85,59
1,11t,0.775642812,0.548363899,85,65
1,11t,0.789625871,0.557544036,85,86
1,11t,0.615662428,0.374466739,81,58
1,CNTR,0.400354318,0.286151525,34,85
1,11t,0.393978786,0.230151326,81,61
1,11t,0.567877875,0.332244632,81,69
1,11t,0.375046287,0.188978534,81,32
1,11t,0.596551676,0.364704949,81,70
1,11t,0.34059328,0.197604031,81,78
1,11t,0.392367483,0.231602359,81,55
1,11t,0.462832423,0.281623728,81,48
1,11t,0.289420106,0.16696478,81,62
1,11t,0.286674816,0.179589706,81,41
1,11t,0.318246992,0.184578863,81,71
1,11t,0.38826231,0.216460671,81,76
1,11t,0.430746455,0.258963914,81,88
1,11t,0.159284016,0.09020916,81,40
1,11t,0.557975842,0.340748142,81,54
1,5t,0.790366802,0.529232944,80,41
1,11t,0.21046018,0.135284529,80,71
1,11t,0.411159237,0.266833667,80,69
1,11t,0.066739714,0.04105808,80,75
1,11t,0.05748567,0.037872173,80,75
1,11t,0.4696054,0.311528097,80,47
1,11t,0.674096186,0.421495755,80,85
1,11t,0.006272107,0.0017963,80,47
1,11t,0.067562855,0.037397812,80,61
1,11t,0.332296324,0.230719077,80,58
1,11t,0.18662503,0.124706538,80,49
1,11t,0.064498857,0.034655607,80,49
1,11t,0.219784129,0.135752514,80,40
1,11t,0.299531198,0.199254319,80,44
1,11t,0.010732327,0.004952089,80,44
1,11t,0.41752466,0.28479184,80,76
1,11t,0.880277047,0.622918823,85,64
1,11t,0.834402424,0.597666175,85,64
1,11t,0.842655138,0.588033533,85,64
1,11t,0.126834169,0.07427846,80,55
1,11t,0.635881865,0.436357015,85,64
1,11t,0.74601295,0.519166909,85,43
1,CNTR,0.419053065,0.301979822,34,85
1,11t,0.382737756,0.278030847,80,66
1,CNTR,0.505115831,0.359004996,34,85
1,CNTR,0.661309171,0.494318471,34,85
1,11t,0.401026048,0.244522875,80,66
1,11t,0.845478729,0.599078095,85,53
1,11t,0.827744607,0.594010106,85,77
1,11t,0.762124235,0.532281734,85,42
1,11t,0.827421793,0.585727265,85,51
1,11t,0.326863021,0.22000396,80,48
1,11t,0.834983069,0.598033669,85,73
1,11t,0.768827116,0.533561376,85,67
1,11t,0.35672791,0.238514254,80,62
1,11t,0.812676126,0.573974764,85,65
1,11t,0.722328981,0.501555703,85,59
1,11t,0.748643567,0.524956541,85,74
1,11t,0.264762972,0.155751966,80,70
1,11t,0.402434427,0.285120328,80,60
1,11t,0.663443116,0.465151656,85,86
1,11t,0.620867562,0.434028634,85,57
1,11t,0.111197719,0.060874459,80,78
1,11t,0.761401403,0.541172824,85,52
1,11t,0.589916097,0.394572982,80,50
1,11t,0.739465244,0.518819781,85,68
1,11t,0.419650171,0.29852109,85,63
1,11t,0.036480119,0.022690165,80,50
1,5t,0.379526069,0.260764491,85,83
1,11t,0.734138283,0.50650069,85,43
1,11t,0.289443248,0.182209149,80,54
1,5t,0.85704051,0.580516358,85,53
1,11t,0.711385009,0.487276794,85,77
1,11t,0.18331555,0.110311474,80,88
1,11t,0.567391025,0.386802435,85,42
1,11t,0.378247486,0.261259851,85,51
1,11t,0.361992493,0.228763755,85,73
1,11t,0.137313604,0.095120468,80,89
1,11t,0.433218594,0.283822904,85,67
1,11t,0.77974122,0.547726811,85,72
1,11t,0.490423629,0.317468511,85,65
1,11t,0.131224844,0.084552932,85,59
1,5t,0.399659668,0.237091835,85,74
1,11t,0.11033108,0.081051301,85,86
1,11t,0.200714358,0.14239576,85,57
1,11t,0.359896501,0.238482208,85,43
1,11t,0.409221503,0.25504889,85,53
1,11t,0.282773964,0.178390284,85,77
1,11t,0.495697519,0.321330766,85,72
1,11t,0.787378793,0.542449002,33,80
1,11t,0.652008246,0.423989809,33,80
1,11t,0.200551911,0.169948509,96,81
1,11t,0.763548311,0.471857938,96,81
1,11t,0.532132079,0.211037665,93,80
1,11t,0.315701068,0.222187403,93,80
1,11t,0.187868212,0.109488332,93,85
1,11t,0.331915943,0.115207016,93,80
1,11t,0.455948086,0.1660103,93,85
1,11t,0.20720581,0.129122633,96,32
1,CNTR,0.445088545,0.304890314,34,85
1,CNTR,0.506351288,0.339292974,34,85
1,CNTR,0.567347308,0.388952064,34,85
1,11t,0.188326954,0.113124711,81,32
1,CNTR,0.439446638,0.317738218,34,85
1,CNTR,0.489905262,0.380430006,34,85
1,CNTR,0.507330171,0.391633072,34,85
1,CNTR,0.521370678,0.343652878,34,85
1,CNTR,0.082683892,0.059476314,34,85
1,11t,0.308556867,0.180270484,96,32
1,11t,0.452540075,0.275147594,33,80
1,11t,0.313110451,0.169314092,34,80
1,11t,0.415713159,0.280147279,92,80
1,11t,0.025662733,0.01266583,81,32
1,11t,0.814055725,0.450430603,96,81
1,11t,0.004225966,0.002095411,81,32
1,11t,0.000949172,0.000371638,81,32
1,11t,0.44606091,0.268711977,80,85
1,11t,0.392514907,0.273398141,80,85
1,11t,0.181285748,0.150151572,96,81
1,11t,0.398078168,0.243024637,96,32
1,11t,0.041793417,0.032980952,80,50
1,11t,0.09880224,0.086370645,96,81
1,CNTR,0.575637189,0.331210192,34,80
1,11t,0.203978006,0.108067145,81,49
1,11t,0.177369172,0.094646988,81,66
1,11t,0.025952167,0.013931197,81,75
1,CNTR,0.491498527,0.386062104,34,85
1,CNTR,0.070987988,0.053277569,34,85
1,11t,0.068022404,0.039577237,96,32
1,11t,0.341222778,0.183908872,96,81
1,11t,0.04895389,0.028991123,80,90
1,11t,0.040271988,0.023039952,80,46
1,11t,0.025482208,0.012132778,81,32
1,11t,0.053128397,0.026811591,81,32
1,11t,0.226804885,0.154661841,81,89
1,11t,0.16247832,0.087340095,81,60
1,11t,0.010787284,0.009377553,81,49
1,11t,0.027405008,0.024331288,81,66
1,11t,0.182783379,0.162133984,96,81
1,11t,0.823288806,0.540808165,92,80
1,11t,0.354977539,0.297357744,92,85
1,11t,0.826067661,0.486012709,33,85
1,11t,0.732400488,0.47183387,33,81
1,11t,0.098208467,0.064051871,85,52
1,11t,0.245156976,0.173539901,85,64
1,11t,0.824836944,0.630476184,80,71
1,11t,0.54784414,0.42899396,80,41
1,11t,0.919558865,0.73868369,80,54
1,11t,0.77251057,0.644925204,80,44
1,11t,0.820367682,0.664640416,80,88
1,11t,0.788328123,0.606168654,80,60
1,11t,0.044191609,0.039237619,80,49
1,11t,0.849552294,0.659920607,80,62
1,11t,0.350705212,0.276463032,80,66
1,11t,0.784914682,0.608165339,80,89
1,11t,0.783703947,0.59543569,80,90
1,11t,0.903180413,0.735266318,80,69
1,11t,0.433473478,0.348345685,80,70
1,11t,0.854671098,0.693438238,80,48
1,11t,0.733743312,0.60601191,80,40
1,11t,0.92023467,0.72342586,80,50
1,11t,0.888127675,0.716213415,80,58
1,11t,0.817767492,0.65940149,80,78
1,11t,0.758689149,0.583255814,80,46
1,11t,0.881862081,0.676003681,80,76
1,11t,0.885624975,0.710375602,80,55
1,11t,0.820435695,0.671208668,80,61
1,11t,0.738096991,0.590076451,80,75
1,CNTR,0.681779634,0.476531138,80,85
1,CNTR,0.729000037,0.492180647,80,85
1,CNTR,0.733015638,0.482172533,80,85
1,11t,0.310271414,0.157459423,81,85
1,11t,0.889774278,0.536323213,96,85
1,11t,0.041429172,0.026817987,80,66
1,11t,0.741867525,0.514488089,85,52
1,11t,0.781140377,0.54899778,85,72
1,11t,0.818962443,0.584773594,85,74
1,11t,0.715053856,0.523952789,85,64
1,11t,0.820033564,0.595387778,85,63
1,11t,0.80504484,0.59010588,85,53
1,11t,0.8695818,0.617541654,85,67
1,11t,0.801756701,0.566292765,85,43
1,11t,0.639864867,0.465376483,85,83
1,11t,0.874154817,0.617110722,85,51
1,11t,0.81108605,0.556522814,85,57
1,11t,0.808073172,0.587548722,85,68
1,11t,0.85350686,0.61728137,85,42
1,11t,0.747624088,0.547171672,85,73
1,11t,0.749651599,0.545996034,85,77
1,11t,0.868852575,0.612767371,85,59
1,11t,0.81982567,0.572064248,85,65
1,11t,0.825266169,0.583751366,85,86
1,11t,0.294053554,0.234537183,80,47
1,CNTR,0.629010107,0.480254931,34,85
1,11t,0.75633974,0.501037814,33,80
1,1t,2.75209344,1.784974796,33,44
1,CNTR,0.622384675,0.484150043,34,85
1,11t,0.629137382,0.407937355,96,81
1,11t,0.220481666,0.185390767,96,81
1,11t,0.518445427,0.285307913,81,69
1,11t,0.579798798,0.334046169,81,75
1,11t,0.395622401,0.214118304,81,41
1,11t,0.419331319,0.240260824,81,54
1,11t,0.618425729,0.349490351,81,46
1,11t,0.376108138,0.213004467,81,49
1,11t,0.647417401,0.373039174,81,47
1,11t,0.383716558,0.218222778,81,40
1,11t,0.762216096,0.439749865,81,58
1,11t,0.641988196,0.34425514,81,44
1,11t,0.392118308,0.218387483,81,78
1,11t,0.698172038,0.397340587,81,50
1,11t,0.345844187,0.191293774,81,62
1,11t,0.500426162,0.283364769,81,61
1,11t,0.507661409,0.277382561,81,55
1,11t,0.647348136,0.354272848,81,70
1,11t,0.57009943,0.33044651,81,66
1,11t,0.72617305,0.414427024,81,60
1,11t,0.315956121,0.175205762,81,89
1,11t,0.393245364,0.233528467,81,90
1,11t,0.322699801,0.184427537,81,48
1,11t,0.421009653,0.233140335,81,71
1,11t,0.56398186,0.308423301,81,76
1,11t,0.542343944,0.302716277,81,88
1,11t,0.703911051,0.426052988,33,81
1,CNTR,0.57207348,0.487825749,34,85
1,11t,0.713307881,0.484909022,92,80
1,11t,0.796268245,0.503006276,96,81
1,11t,0.229595489,0.138749809,96,81
1,CNTR,0.620135867,0.5329864,34,85
1,11t,0.239732895,0.213500582,96,81
1,CNTR,0.637537661,0.547001342,34,85
1,11t,0.15913363,0.079717539,81,85
1,11t,0.764800212,0.529319756,33,80
1,11t,0.840840865,0.533926489,33,85
1,CNTR,0.703865114,0.590545274,34,85
1,11t,0.789115317,0.467533548,96,81
1,5t,1.40952939,1.077167152,92,80
1,11t,0.800516917,0.561562143,92,80
1,11t,0.835310683,0.669646484,92,80
1,11t,0.351018037,0.315390974,92,85
1,11t,0.690517346,0.443747651,33,81
1,CNTR,0.660169139,0.526067901,34,85
1,11t,0.53210634,0.395494097,80,44
1,CNTR,0.613407593,0.426651078,80,85
1,11t,0.874309104,0.525935831,96,85
1,CNTR,0.516528796,0.287527928,34,80
1,CNTR,0.618957397,0.425845483,34,85
1,11t,0.867574993,0.532195571,96,81
1,CNTR,0.627083585,0.450303969,34,85
1,11t,0.750636285,0.469866929,33,80
1,11t,0.700456854,0.440340992,33,85
1,11t,0.475209345,0.35234986,80,49
1,11t,0.610197401,0.443888841,80,75
1,11t,0.208716471,0.140227518,80,66
1,11t,0.218914616,0.110629406,81,85
1,11t,0.362005731,0.306306029,96,81
1,CNTR,0.705933167,0.511615819,34,85
1,11t,0.905017035,0.63612548,33,81
1,11t,0.269598176,0.193403438,80,47
1,11t,0.749174308,0.539876327,80,69
1,11t,0.588098127,0.428747378,80,40
1,11t,0.591478065,0.414436179,80,50
1,11t,0.7663361,0.552996721,80,58
1,11t,0.861811318,0.633205998,80,48
1,11t,0.736676664,0.547295719,80,88
1,11t,0.775402909,0.553405692,80,54
1,11t,0.405811927,0.276179473,80,70
1,11t,0.368911516,0.255741512,80,55
1,11t,0.803660496,0.601051574,80,61
1,11t,0.50515188,0.361545919,80,78
1,CNTR,0.588312892,0.487941813,34,85
1,11t,0.78747333,0.479676502,96,81
1,CNTR,0.503947384,0.382084988,34,85
1,CNTR,0.560908991,0.313717886,34,80
1,CNTR,0.644778273,0.356029807,34,80
1,11t,0.753512227,0.519058735,92,80
1,11t,0.859469005,0.649010757,92,80
1,11t,0.314451203,0.254349172,92,85
1,CNTR,0.658620313,0.48952552,34,85
1,11t,0.797101089,0.552113569,33,81
1,11t,0.656163873,0.414835866,33,85
1,CNTR,0.490240925,0.328431078,34,85
1,CNTR,0.491905469,0.361951804,34,85
1,CNTR,0.605803267,0.441280979,34,85
1,11t,0.549825014,0.210699164,93,80
1,11t,0.228686951,0.122243931,93,85
1,11t,0.220863745,0.186000495,93,80
1,11t,0.915400274,0.653965911,85,64
1,11t,0.92651639,0.694661383,85,64
1,11t,0.811291146,0.550485063,85,64
1,11t,0.601999369,0.402097283,85,64
1,11t,0.81095729,0.585022675,85,43
1,11t,0.86771071,0.624371306,85,53
1,11t,0.78376589,0.567195914,85,77
1,11t,0.826987732,0.592266013,85,42
1,11t,0.793594785,0.566195772,85,51
1,11t,0.791058644,0.574062682,85,73
1,11t,0.873577855,0.60271742,85,67
1,11t,0.808786086,0.569919823,85,72
1,11t,0.83614978,0.590810992,85,65
1,11t,0.670138853,0.454777785,85,59
1,11t,0.693727686,0.485698411,85,74
1,11t,0.711791257,0.507562054,85,86
1,11t,0.758744036,0.531665758,85,57
1,11t,0.700412352,0.489997559,85,52
1,11t,0.785078577,0.527893297,85,68
1,11t,0.427261622,0.274709696,85,63
1,11t,0.42647171,0.271105482,85,83
1,11t,0.759781527,0.528100024,85,43
1,11t,0.771436933,0.514104311,85,53
1,11t,0.705360417,0.474100768,85,77
1,11t,0.435551888,0.280892386,85,42
1,11t,0.461593093,0.316811173,85,51
1,11t,0.519394296,0.347668392,85,73
1,11t,0.325662478,0.211336871,85,67
1,11t,0.350649763,0.237252694,85,72
1,11t,0.521359587,0.348327305,85,65
1,11t,0.159558878,0.101880539,85,59
1,11t,0.247388702,0.174358418,85,74
1,11t,0.20971189,0.141724441,85,86
1,11t,0.143677163,0.104156639,85,57
1,5t,0.346586034,0.22742723,85,52
1,11t,0.406834761,0.278823583,85,43
1,11t,0.260783568,0.172951504,85,53
1,11t,0.299672211,0.188580589,85,77
1,11t,0.117934588,0.088929027,85,42
1,11t,0.089241683,0.05819331,85,51
1,11t,0.176946175,0.121425215,85,73
1,11t,0.674807048,0.42953213,80,85
1,CNTR,0.453760042,0.34279896,34,85
1,CNTR,0.489079336,0.360226523,34,85
1,CNTR,0.503781962,0.394128553,34,85
1,CNTR,0.511744317,0.360541653,34,85
1,11t,0.176679638,0.121139095,80,41
1,11t,0.334710315,0.223530138,80,71
1,11t,0.500787049,0.345400137,80,69
1,11t,0.447182806,0.318593254,80,75
1,11t,0.305802702,0.206935561,80,75
1,11t,0.155276184,0.078917149,81,32
1,11t,0.257899091,0.173845384,80,47
1,11t,0.063593688,0.039817774,80,47
1,5t,0.628001789,0.444521439,80,58
1,11t,0.519921483,0.370093708,80,49
1,11t,0.714043945,0.48524823,80,49
1,11t,0.298409233,0.206270546,80,40
1,11t,0.035995236,0.018494498,80,40
1,11t,0.549318276,0.416182375,80,44
1,11t,0.080075085,0.052120057,80,44
1,11t,0.451964502,0.332510686,80,76
1,11t,0.808450156,0.537365426,33,80
1,11t,0.819500276,0.550188415,33,80
1,11t,0.340166103,0.207577896,33,85
1,11t,0.245675267,0.186904915,80,55
1,11t,0.319395106,0.220135941,80,66
1,11t,0.162794043,0.101798992,80,66
1,11t,0.356200285,0.241201434,80,48
1,11t,0.425290368,0.309550933,80,62
1,11t,0.201001365,0.140009617,80,70
1,11t,0.39992234,0.290499977,80,60
1,11t,0.413762736,0.260875341,96,81
1,11t,0.211282676,0.142821632,80,78
1,11t,0.382646911,0.266244745,80,50
1,11t,0.043087544,0.023487096,80,50
1,11t,0.34540641,0.228753946,80,54
1,11t,0.508865261,0.361523022,80,88
1,11t,0.339111024,0.241913609,80,89
1,11t,0.201968839,0.136721238,80,61
1,11t,0.520465792,0.319317755,96,32
1,11t,0.104439249,0.067903394,80,46
1,11t,0.173245902,0.146716941,96,81
1,11t,0.098318546,0.048464839,81,32
1,CNTR,0.552877371,0.416271734,34,85
1,CNTR,0.400316699,0.312200219,34,85
1,CNTR,0.572056633,0.437528589,34,85
1,CNTR,0.500561094,0.358745656,34,85
1,CNTR,0.391043815,0.292455879,34,85
1,11t,0.56986625,0.332114991,81,54
1,11t,0.207290377,0.121755587,81,49
1,11t,0.467768021,0.262094694,81,47
1,11t,0.304599907,0.162818746,81,40
1,5t,0.99607461,0.579080832,81,88
1,11t,0.562428063,0.302792603,81,69
1,11t,0.382026947,0.210890373,81,75
1,11t,0.739326858,0.417632837,81,58
1,11t,0.54696203,0.301516772,81,44
1,11t,0.293084404,0.168863628,81,78
1,11t,0.618249521,0.336883516,81,50
1,11t,0.394801496,0.239138272,81,61
1,11t,0.40118669,0.227356965,81,55
1,11t,0.477794563,0.274558011,81,70
1,11t,0.578616423,0.379211208,81,48
1,11t,0.210480227,0.125495303,81,41
1,11t,0.311360566,0.19022187,81,62
1,11t,0.285120358,0.164383008,81,89
1,11t,0.375407061,0.221603788,81,76
1,11t,0.335954909,0.187815153,81,71
1,11t,0.779282414,0.431113195,96,81
1,5t,0.60693616,0.234470369,93,85
1,11t,0.363751442,0.119650281,93,80
1,11t,0.025314008,0.01245595,81,32
1,11t,0.268289725,0.142516653,32,72
1,5t,0.524368837,0.27669358,32,51
1,11t,0.237422544,0.125442028,32,57
1,11t,0.222006316,0.111733136,32,74
1,11t,0.272819556,0.138946372,32,73
1,11t,0.537780333,0.280578038,32,64
1,11t,0.223914012,0.113773622,32,52
1,11t,0.32474857,0.170288779,32,67
1,11t,0.388537516,0.20505078,32,43
1,11t,0.37671638,0.1960712,32,77
1,11t,0.257415892,0.137176213,32,42
1,11t,0.180056268,0.090489169,32,68
1,11t,0.244679906,0.134441173,32,59
1,11t,0.376164843,0.201076409,32,53
1,5t,0.315904594,0.1639672,32,63
1,11t,0.13116048,0.068785275,32,83
1,11t,0.192157138,0.100658016,32,86
1,11t,0.315572464,0.163446663,32,65
1,11t,0.193361892,0.172889127,96,81
1,11t,0.722894841,0.447779874,33,80
1,11t,0.512008822,0.309048381,80,85
1,11t,0.617696521,0.402732587,80,85
1,11t,0.522951265,0.361144462,33,80
1,11t,0.37804489,0.282893425,80,85
1,11t,0.386100625,0.214469387,34,80
1,11t,0.665884651,0.413322329,96,81
1,11t,0.36902438,0.232972279,92,80
1,11t,0.005477638,0.002480204,81,32
1,11t,0.418396275,0.263839645,96,32
1,CNTR,0.453205313,0.340805733,34,85
1,CNTR,0.401870998,0.297196127,34,85
1,CNTR,0.474749465,0.355534221,34,85
1,CNTR,0.177118795,0.125147154,34,85
1,11t,0.131216537,0.086682046,80,90
1,11t,0.117433179,0.105189892,96,81
1,11t,0.028720241,0.01298133,81,32
1,11t,0.722238335,0.377364887,96,81
1,11t,0.022123662,0.009938007,81,32
1,11t,0.427139567,0.251869803,96,32
1,CNTR,0.616414465,0.347555612,34,80
1,11t,0.05265577,0.029617592,96,32
1,11t,0.017178531,0.007494807,81,32
1,CNTR,0.407885934,0.270315562,34,85
1,CNTR,0.198056462,0.127695206,34,85
1,11t,0.098564148,0.091673876,96,81
1,11t,0.062054203,0.030020954,81,49
1,11t,0.690252114,0.39415471,81,66
1,11t,0.129397197,0.070064758,81,47
1,11t,0.05493643,0.03642779,81,40
1,11t,0.107722092,0.068958082,81,50
1,11t,0.134970229,0.075582045,81,75
1,11t,0.058444003,0.034191751,81,44
1,11t,0.020684752,0.012972337,81,49
1,11t,0.027160364,0.015398024,81,66
1,11t,0.044055392,0.033505873,81,47
1,11t,0.051983407,0.034477649,81,75
1,11t,0.03093405,0.021449806,81,49
1,11t,0.029595357,0.022950155,81,66
1,11t,0.870060562,0.553148261,92,80
1,11t,0.844620347,0.572033214,92,85
1,11t,0.13470188,0.099192826,96,81
1,11t,0.118948868,0.058705268,96,81
1,11t,0.78354653,0.450136354,33,85
1,11t,0.781127244,0.47267482,33,81
1,11t,0.105519407,0.066737109,85,64
1,11t,0.820572056,0.635347731,80,71
1,11t,0.829778836,0.669546289,80,41
1,11t,0.956507932,0.78088725,80,54
1,11t,0.794650234,0.665541106,80,44
1,11t,0.845881432,0.718868205,80,88
1,11t,0.867685255,0.675124343,80,60
1,11t,0.82492262,0.679562618,80,49
1,11t,0.908870946,0.709064202,80,62
1,11t,1.047491803,0.880596086,80,66
1,11t,0.861777335,0.670553301,80,89
1,5t,1.351225111,1.026051668,80,90
1,11t,0.867041921,0.722904025,80,69
1,11t,0.853597836,0.701580637,80,70
1,11t,0.877782777,0.716561564,80,48
1,11t,1.022748538,0.82415121,80,40
1,11t,1.226322918,1.008579166,80,50
1,11t,0.860793499,0.725953506,80,58
1,11t,0.903210491,0.725527861,80,78
1,11t,0.807982022,0.627608466,80,46
1,11t,0.939051972,0.747470568,80,76
1,11t,0.897442534,0.739373147,80,55
1,11t,0.8662865,0.699262726,80,61
1,11t,1.026053487,0.829030234,80,75
1,CNTR,0.715421304,0.515022211,80,85
1,CNTR,0.758281282,0.546015508,80,85
1,CNTR,0.679862241,0.530799194,80,85
1,11t,0.812568871,0.599344877,85,52
