truck,fromid,toid,fee,gross,net,scenorio
CNTR,34,-1,0,0.441764658,0.268220985,Actual
CNTR,34,-1,0,0.574152923,0.389914167,Actual
11t,33,-1,271000,0.561165409,0.375088162,Actual
CNTR,34,-1,0,0.50664491,0.352661413,Actual
11t,101,-1,119000,0.759177826,0.56079108,Actual
11t,101,-1,119000,0.818897397,0.586722696,Actual
11t,101,-1,262200,0.559761433,0.40797232,Actual
11t,32,-1,NA,0.139998523,0.111348,Actual
11t,85,-1,159000,0.811836431,0.547380616,Actual
11t,85,-1,159000,0.743964606,0.516759846,Actual
11t,85,-1,159000,0.763102184,0.497645263,Actual
11t,85,-1,159000,0.713059312,0.467785008,Actual
11t,85,-1,159000,0.684888588,0.497365261,Actual
11t,85,-1,220900,0.768238469,0.530897408,Actual
11t,85,-1,220900,0.858624833,0.598830092,Actual
11t,85,-1,220900,0.831643906,0.592374761,Actual
11t,85,-1,220900,0.81085682,0.564754335,Actual
11t,85,-1,282700,0.767771769,0.515277392,Actual
11t,85,-1,220900,0.788378435,0.541751135,Actual
11t,85,-1,220900,0.792118085,0.528589117,Actual
11t,85,-1,220900,0.844640922,0.566183718,Actual
11t,80,-1,250000,0.639600692,0.390525904,Actual
11t,85,-1,176700,0.772611128,0.519489742,Actual
11t,85,-1,159000,0.80055257,0.536160986,Actual
11t,85,-1,220900,0.777709264,0.52422448,Actual
11t,85,-1,159000,0.66300969,0.436569675,Actual
11t,85,-1,220900,0.822880431,0.550153085,Actual
11t,81,-1,NA,0.805845129,0.419499268,Actual
11t,85,-1,282700,0.789216087,0.528332113,Actual
11t,85,-1,220900,0.764735211,0.524496191,Actual
11t,85,-1,220900,0.649603845,0.443277641,Actual
11t,85,-1,263200,0.493244223,0.328015472,Actual
11t,85,-1,220900,0.773326259,0.499288025,Actual
11t,85,-1,220900,0.86029961,0.577069361,Actual
11t,85,-1,220900,0.789569036,0.541172953,Actual
11t,85,-1,220900,0.761529374,0.511391556,Actual
11t,85,-1,282700,0.525128081,0.364403747,Actual
11t,85,-1,220900,0.591620418,0.40642543,Actual
11t,85,-1,220900,0.724649588,0.492464942,Actual
11t,85,-1,220900,0.564800218,0.399897759,Actual
11t,102,-1,NA,0.510357517,0.210814857,Actual
5t,102,-1,NA,0.557978476,0.216097914,Actual
11t,102,-1,NA,0.24698874,0.131582293,Actual
11t,85,-1,176700,0.604452699,0.412348892,Actual
11t,102,-1,NA,0.169161311,0.149937535,Actual
11t,85,-1,159000,0.37778882,0.260670251,Actual
11t,102,-1,NA,0.353851537,0.127752385,Actual
11t,85,-1,220900,0.397172713,0.276259005,Actual
11t,85,-1,159000,0.351873291,0.253738767,Actual
11t,85,-1,220900,0.315461548,0.242546287,Actual
11t,85,-1,282700,0.22306364,0.151361723,Actual
11t,85,-1,220900,0.269138783,0.198574644,Actual
11t,85,-1,220900,0.683989596,0.469451184,Actual
11t,85,-1,220900,0.535894784,0.380089348,Actual
11t,85,-1,220900,0.50333521,0.36218268,Actual
5t,85,-1,203200,0.50470277,0.343836503,Actual
11t,85,-1,282700,0.320879915,0.221481988,Actual
5t,85,-1,203200,0.531219158,0.380363882,Actual
11t,80,-1,154000,0.618937983,0.486147283,Actual
11t,32,-1,NA,0.472053793,0.277769238,Actual
CNTR,34,-1,0,0.41505098,0.23907449,Actual
CNTR,34,-1,0,0.43012707,0.289825716,Actual
CNTR,34,-1,0,0.516494268,0.353522786,Actual
11t,80,-1,150000,0.524749676,0.360801553,Actual
11t,80,-1,155000,0.448422796,0.300732375,Actual
11t,80,-1,150000,0.50110077,0.29756612,Actual
11t,80,-1,150000,0.446115571,0.328248046,Actual
11t,80,-1,150000,0.273803365,0.160409941,Actual
11t,80,-1,150000,0.061635391,0.03711543,Actual
11t,80,-1,138000,0.32747153,0.23733669,Actual
11t,80,-1,138000,0.309479857,0.191653693,Actual
11t,80,-1,150000,0.436813202,0.307476438,Actual
11t,80,-1,150000,0.462580085,0.313104207,Actual
11t,80,-1,150000,0.131375503,0.077876881,Actual
11t,80,-1,154000,0.478061927,0.319614582,Actual
11t,80,-1,154000,0.240110809,0.14343572,Actual
11t,80,-1,138000,0.385155946,0.254211051,Actual
11t,80,-1,138000,0.578791814,0.421226323,Actual
11t,80,-1,138000,0.10911926,0.059605619,Actual
11t,80,-1,155000,0.488056473,0.335439766,Actual
11t,80,-1,167000,0.20903772,0.131727866,Actual
11t,80,-1,127000,0.591986591,0.400281013,Actual
11t,80,-1,127000,0.036524005,0.020465142,Actual
11t,81,-1,NA,0.739388731,0.365753075,Actual
11t,80,-1,155000,0.481608287,0.346614344,Actual
11t,80,-1,155000,0.102188392,0.061184312,Actual
11t,80,-1,155000,0.547430114,0.340967772,Actual
11t,33,-1,139000,0.85559511,0.495892612,Actual
11t,33,-1,139000,0.74208317,0.515215547,Actual
11t,33,-1,271000,0.47768638,0.277893944,Actual
11t,80,-1,250000,0.721199508,0.507535146,Actual
11t,80,-1,134000,0.533610293,0.362780012,Actual
11t,80,-1,155000,0.336696325,0.220806637,Actual
11t,80,-1,134000,0.204034894,0.129980574,Actual
11t,80,-1,150000,0.593259384,0.415998147,Actual
11t,80,-1,150000,0.128741802,0.076634793,Actual
11t,80,-1,150000,0.512153378,0.320627638,Actual
11t,80,-1,140000,0.593676762,0.425421524,Actual
5t,80,-1,115000,0.248727331,0.145600911,Actual
11t,80,-1,160000,0.17262637,0.110222494,Actual
11t,80,-1,160000,0.169118615,0.109971361,Actual
11t,80,-1,160000,0.089997208,0.052928462,Actual
11t,80,-1,160000,0.102239418,0.059318719,Actual
11t,32,-1,NA,0.215915901,0.168337032,Actual
11t,81,-1,164000,0.535163642,0.295981065,Actual
11t,81,-1,159000,0.613825632,0.358740619,Actual
11t,81,-1,147000,0.587813355,0.354285054,Actual
11t,81,-1,152000,0.644407283,0.3647241,Actual
11t,81,-1,140000,0.674246392,0.384183292,Actual
11t,81,-1,154000,0.681477448,0.397670943,Actual
11t,81,-1,135000,0.625563889,0.364597777,Actual
11t,81,-1,148000,0.685243691,0.375995708,Actual
11t,81,-1,143000,0.527014523,0.301844946,Actual
11t,81,-1,162000,0.547425415,0.313825923,Actual
11t,81,-1,110000,0.423193666,0.237174893,Actual
11t,81,-1,110000,0.384567401,0.218493433,Actual
11t,81,-1,143000,0.70393285,0.430624733,Actual
5t,81,-1,105000,1.246028257,0.73755719,Actual
11t,81,-1,142000,0.806327751,0.452539989,Actual
11t,81,-1,135000,0.550375665,0.312486926,Actual
11t,81,-1,136000,0.645669295,0.37049022,Actual
5t,81,-1,115000,0.801674457,0.454378623,Actual
11t,81,-1,143000,0.44672459,0.256862353,Actual
11t,81,-1,138000,0.435543613,0.248668564,Actual
11t,81,-1,135000,0.37872829,0.208584451,Actual
11t,81,-1,148000,0.433691737,0.243507715,Actual
11t,32,-1,NA,0.92689853,0.534442349,Actual
11t,33,-1,139000,0.749769854,0.495122914,Actual
5t,33,-1,115000,1.000840705,0.669273485,Actual
CNTR,34,-1,0,0.589890306,0.438507585,Actual
CNTR,34,-1,0,0.431450723,0.335310042,Actual
CNTR,34,-1,0,0.551398057,0.416506615,Actual
CNTR,34,-1,0,0.598084463,0.464337789,Actual
CNTR,34,-1,0,0.621883299,0.458790377,Actual
CNTR,34,-1,0,0.503305193,0.359704742,Actual
11t,32,-1,NA,0.121993311,0.107734485,Actual
11t,33,-1,271000,0.17745474,0.103396807,Actual
11t,80,-1,250000,0.523036458,0.306026958,Actual
11t,81,-1,NA,0.802881423,0.397117193,Actual
11t,81,-1,NA,0.54345546,0.266002234,Actual
11t,32,-1,NA,0.672432437,0.387326208,Actual
11t,80,-1,250000,0.191061173,0.146656401,Actual
11t,33,-1,139000,0.147989789,0.09916563,Actual
11t,101,-1,119000,0.43109146,0.256101118,Actual
11t,32,-1,NA,0.166755043,0.141667799,Actual
11t,32,-1,NA,0.84013325,0.453581424,Actual
11t,32,-1,NA,0.803134642,0.454037079,Actual
11t,80,-1,155000,0.176537842,0.10171702,Actual
11t,80,-1,155000,0.049719283,0.032112349,Actual
11t,81,-1,NA,0.593244251,0.289261517,Actual
CNTR,34,-1,0,0.479327663,0.359395516,Actual
CNTR,34,-1,0,0.44859977,0.335246879,Actual
CNTR,34,-1,0,0.419928476,0.304871695,Actual
CNTR,34,-1,0,0.248860085,0.190281499,Actual
CNTR,34,-1,0,0.489895656,0.333591838,Actual
CNTR,34,-1,0,0.532972093,0.403120518,Actual
11t,81,-1,147000,0.485021364,0.279705415,Actual
11t,81,-1,159000,0.697552608,0.394972616,Actual
11t,81,-1,140000,0.324645166,0.19422773,Actual
11t,34,-1,245000,0.386501281,0.212161421,Actual
CNTR,34,-1,325000,0.658060073,0.395758282,Actual
11t,32,-1,NA,0.129008048,0.102765373,Actual
11t,81,-1,135000,0.429750694,0.238983997,Actual
11t,81,-1,NA,0.516100026,0.242726925,Actual
11t,32,-1,NA,0.498932537,0.290661253,Actual
11t,81,-1,143000,0.353226437,0.196251852,Actual
11t,81,-1,135000,0.148298658,0.083916816,Actual
11t,81,-1,143000,0.273196182,0.156865142,Actual
11t,80,-1,138000,0.138556825,0.089883165,Actual
11t,81,-1,162000,0.158549504,0.10693449,Actual
11t,81,-1,148000,0.154605645,0.080060826,Actual
11t,81,-1,135000,0.101559141,0.055455871,Actual
5t,81,-1,130000,0.433268991,0.232569524,Actual
11t,81,-1,154000,0.138875159,0.071358482,Actual
11t,81,-1,152000,0.121975802,0.066339305,Actual
11t,81,-1,159000,0.018498682,0.010160515,Actual
11t,81,-1,NA,0.298917876,0.153834149,Actual
11t,81,-1,140000,0.03240053,0.021227915,Actual
11t,81,-1,147000,0.056798797,0.031502846,Actual
11t,81,-1,135000,0.0679281,0.039431176,Actual
11t,81,-1,143000,0.055856744,0.033807846,Actual
11t,32,-1,NA,0.023809298,0.015022673,Actual
CNTR,34,-1,0,0.389512317,0.288097565,Actual
CNTR,34,-1,0,0.216459458,0.171683346,Actual
11t,32,-1,NA,0.201730351,0.117539421,Actual
11t,80,-1,138000,0.058832301,0.03525081,Actual
11t,33,-1,151000,0.775099169,0.51826486,Actual
11t,33,-1,271000,0.822358846,0.468698526,Actual
5t,80,-1,124000,0.103809471,0.056632581,Actual
11t,101,-1,119000,0.72367407,0.469852193,Actual
11t,101,-1,262200,0.834250951,0.592577919,Actual
11t,80,-1,155000,0.296227957,0.170160704,Actual
11t,80,-1,140000,0.050493678,0.028403923,Actual
11t,80,-1,138000,0.031598182,0.017358507,Actual
11t,81,-1,110000,0.054352681,0.032335123,Actual
11t,81,-1,110000,0.066079661,0.037262098,Actual
11t,80,-1,155000,0.788998812,0.627785093,Actual
11t,80,-1,150000,0.744105353,0.586592839,Actual
11t,80,-1,150000,0.922507991,0.751968337,Actual
11t,80,-1,138000,1.003543869,0.827612275,Actual
11t,80,-1,140000,0.895958743,0.719698842,Actual
11t,80,-1,155000,0.764246286,0.599129773,Actual
11t,80,-1,154000,1.011812904,0.817875529,Actual
11t,80,-1,134000,0.786152212,0.627519574,Actual
11t,80,-1,155000,1.15712233,0.927054918,Actual
11t,80,-1,160000,0.761973376,0.601854915,Actual
11t,80,-1,160000,0.630182004,0.488048836,Actual
11t,80,-1,150000,1.327768001,1.025636716,Actual
11t,80,-1,155000,0.875014844,0.706059549,Actual
11t,80,-1,155000,0.895709484,0.71191774,Actual
11t,80,-1,138000,1.385157294,1.094006094,Actual
11t,80,-1,150000,1.139662887,0.879619941,Actual
11t,80,-1,150000,0.911200434,0.75743026,Actual
11t,80,-1,134000,0.881432467,0.700541022,Actual
11t,80,-1,167000,0.705090606,0.5446334,Actual
11t,80,-1,155000,0.87815841,0.676853889,Actual
11t,80,-1,127000,1.370113057,1.080400277,Actual
11t,80,-1,150000,0.875156738,0.686277397,Actual
11t,80,-1,150000,1.01006282,0.804166087,Actual
CNTR,80,-1,312000,0.729915943,0.48239627,Actual
CNTR,80,-1,312000,0.646752786,0.436340267,Actual
CNTR,80,-1,312000,0.694457529,0.463441002,Actual
11t,80,-1,160000,0.004279512,0.002801242,Actual
11t,80,-1,160000,0.001711628,0.001131793,Actual
11t,85,-1,159000,0.192517021,0.136187705,Actual
11t,85,-1,220900,0.109990792,0.08327096,Actual
11t,80,-1,150000,0.005330343,0.003246125,Actual
11t,85,-1,159000,0.830428669,0.572827943,Actual
11t,85,-1,176700,0.821582346,0.567610109,Actual
11t,85,-1,159000,0.725987044,0.491380679,Actual
11t,85,-1,159000,0.696281919,0.498838992,Actual
11t,85,-1,220900,0.866036578,0.61899079,Actual
11t,85,-1,220900,0.821549363,0.575677839,Actual
11t,85,-1,220900,0.662540883,0.452478172,Actual
11t,85,-1,220900,0.858511078,0.599946305,Actual
11t,85,-1,263200,0.644035732,0.462856352,Actual
11t,85,-1,282700,0.806554283,0.544293526,Actual
11t,85,-1,282700,0.805245485,0.563071797,Actual
11t,85,-1,220900,0.751969004,0.530815551,Actual
11t,85,-1,220900,0.828944835,0.591778185,Actual
11t,85,-1,220900,0.792923101,0.56618481,Actual
11t,85,-1,220900,0.814572413,0.571041067,Actual
11t,85,-1,220900,0.881922086,0.631761746,Actual
11t,85,-1,220900,0.763748476,0.530656669,Actual
11t,85,-1,220900,0.835186114,0.583917998,Actual
11t,81,-1,312000,0.901428529,0.448303047,Actual
11t,32,-1,312000,1.056884784,0.66700506,Actual
1t,33,-1,45000,3.115865273,2.053117077,Actual
11t,33,-1,139000,0.74843847,0.479091767,Actual
11t,32,-1,NA,0.473084593,0.286074782,Actual
11t,32,-1,NA,0.382802967,0.244190341,Actual
CNTR,34,-1,0,0.611404821,0.442989725,Actual
CNTR,34,-1,0,0.581801763,0.463408619,Actual
CNTR,80,-1,312000,0.660602504,0.390703048,Actual
CNTR,80,-1,312000,0.635100213,0.380896327,Actual
11t,81,-1,135000,0.612867442,0.330358921,Actual
11t,81,-1,135000,0.695058994,0.391283979,Actual
11t,81,-1,148000,0.519231096,0.27727168,Actual
11t,81,-1,164000,0.780728601,0.432186231,Actual
11t,81,-1,144000,0.389357969,0.216780123,Actual
11t,81,-1,159000,0.750185201,0.423184516,Actual
11t,81,-1,147000,0.716353711,0.416077264,Actual
11t,81,-1,143000,0.826669506,0.472370127,Actual
11t,81,-1,152000,0.668607429,0.394199896,Actual
11t,81,-1,148000,0.653192436,0.356954057,Actual
11t,81,-1,148000,0.714555484,0.395948281,Actual
11t,81,-1,143000,0.701751969,0.394081324,Actual
11t,81,-1,143000,0.555068937,0.314778926,Actual
11t,81,-1,136000,0.702158853,0.386650064,Actual
11t,81,-1,162000,0.635697758,0.348835557,Actual
11t,81,-1,135000,0.70272319,0.385563769,Actual
11t,81,-1,140000,0.690927354,0.408437488,Actual
11t,81,-1,135000,0.473682674,0.273577255,Actual
11t,81,-1,110000,0.329279358,0.186467261,Actual
11t,81,-1,110000,0.404396866,0.237683662,Actual
11t,81,-1,142000,0.741271344,0.400546895,Actual
11t,81,-1,135000,0.537852177,0.297905028,Actual
11t,81,-1,138000,0.555410789,0.323873477,Actual
11t,81,-1,154000,0.663529219,0.353213195,Actual
CNTR,34,-1,0,0.592622547,0.488721692,Actual
11t,32,-1,NA,0.591479727,0.393787122,Actual
11t,81,-1,312000,0.7746633,0.377655704,Actual
CNTR,34,-1,0,0.532057529,0.44211278,Actual
11t,32,-1,NA,0.453629332,0.274101729,Actual
11t,33,-1,151000,0.760233065,0.501861717,Actual
11t,32,-1,312000,1.146393294,0.694596717,Actual
11t,32,-1,NA,0.713743546,0.463109234,Actual
11t,101,-1,119000,0.790191544,0.585020829,Actual
11t,101,-1,119000,0.767264806,0.53231122,Actual
11t,101,-1,119000,0.848734322,0.611493043,Actual
11t,101,-1,262200,0.671421964,0.511617374,Actual
CNTR,34,-1,0,0.552443979,0.466048649,Actual
CNTR,34,-1,0,0.587328757,0.496529126,Actual
11t,33,-1,139000,0.772265941,0.541360056,Actual
11t,32,-1,NA,0.57059548,0.32651454,Actual
CNTR,34,-1,0,0.521503792,0.399701925,Actual
11t,33,-1,271000,0.853603711,0.503838769,Actual
5t,33,-1,121000,1.387597248,0.896497133,Actual
CNTR,34,-1,0,0.580664087,0.395560769,Actual
1t,81,-1,0,5.777278721,2.870901735,Actual
11t,32,-1,NA,0.798297282,0.498832954,Actual
11t,80,-1,154000,0.819533075,0.615852082,Actual
CNTR,34,-1,0,0.507428067,0.361464233,Actual
CNTR,34,-1,325000,0.622524397,0.358768792,Actual
CNTR,34,-1,0,0.660251921,0.451938187,Actual
11t,80,-1,138000,0.428388629,0.327864951,Actual
11t,33,-1,139000,0.788692471,0.501608656,Actual
11t,32,-1,NA,0.788845416,0.482468289,Actual
11t,32,-1,330000,0.2601456,0.135267687,Actual
11t,32,-1,325000,0.299069659,0.153304417,Actual
11t,32,-1,325000,0.205983873,0.104671119,Actual
11t,32,-1,3.00E+05,0.204132598,0.103068122,Actual
11t,32,-1,380000,0.291673139,0.148835755,Actual
11t,32,-1,310000,0.508899279,0.255645082,Actual
11t,32,-1,325000,0.219295137,0.10749351,Actual
11t,32,-1,225000,0.25952512,0.138341577,Actual
11t,32,-1,220000,0.370238866,0.189185859,Actual
11t,32,-1,380000,0.328773138,0.169343496,Actual
11t,32,-1,380000,0.298329836,0.155144685,Actual
11t,32,-1,380000,0.18049689,0.092355044,Actual
11t,32,-1,385000,0.192254609,0.09256124,Actual
11t,32,-1,385000,0.359950195,0.189011427,Actual
11t,32,-1,390000,0.15654524,0.078167961,Actual
11t,32,-1,360000,0.142758454,0.070440591,Actual
11t,32,-1,270000,0.21408554,0.114307336,Actual
11t,32,-1,205000,0.279677477,0.139040014,Actual
11t,81,-1,NA,0.764596976,0.392801988,Actual
CNTR,34,-1,0,0.564975927,0.40250387,Actual
11t,80,-1,138000,0.487625769,0.353209161,Actual
11t,80,-1,150000,0.110720355,0.086506127,Actual
11t,80,-1,160000,0.165929868,0.100599183,Actual
11t,80,-1,160000,0.199487536,0.121555036,Actual
11t,80,-1,155000,0.558527586,0.421680389,Actual
11t,80,-1,150000,0.807870973,0.61325561,Actual
11t,80,-1,140000,0.461522193,0.351225013,Actual
11t,80,-1,155000,0.806306162,0.608713647,Actual
11t,80,-1,150000,0.746894649,0.565302702,Actual
11t,80,-1,155000,0.717353999,0.514913324,Actual
11t,80,-1,138000,0.116651943,0.078831641,Actual
11t,80,-1,150000,0.334534446,0.268690586,Actual
11t,80,-1,150000,0.584660676,0.453009659,Actual
11t,80,-1,127000,0.034869381,0.02605292,Actual
11t,80,-1,150000,0.740858126,0.532126196,Actual
11t,80,-1,134000,0.721338064,0.545429371,Actual
11t,33,-1,151000,0.791478033,0.488736755,Actual
11t,33,-1,271000,0.768231711,0.512481114,Actual
11t,32,-1,NA,0.466040153,0.393172236,Actual
CNTR,34,-1,0,0.464410347,0.370102506,Actual
11t,101,-1,119000,0.684983102,0.509495853,Actual
11t,81,-1,140000,0.978429846,0.56902986,Actual
11t,81,-1,159000,0.818878297,0.470390306,Actual
11t,81,-1,135000,0.663500698,0.379103581,Actual
11t,81,-1,135000,0.650057755,0.363266042,Actual
11t,81,-1,143000,0.678011589,0.396387046,Actual
11t,81,-1,135000,0.572922512,0.325261311,Actual
11t,81,-1,162000,0.536246526,0.301201673,Actual
11t,81,-1,110000,0.364201344,0.201872645,Actual
11t,81,-1,110000,0.287420213,0.166296537,Actual
11t,81,-1,148000,0.667303498,0.362591095,Actual
11t,81,-1,154000,0.614839417,0.344890484,Actual
11t,81,-1,147000,0.745349243,0.443560083,Actual
11t,81,-1,152000,0.617263449,0.346717699,Actual
11t,81,-1,135000,0.32187656,0.176366953,Actual
11t,81,-1,144000,0.323416091,0.188491384,Actual
11t,101,-1,119000,0.720507026,0.524895201,Actual
11t,101,-1,119000,0.588981252,0.395921326,Actual
11t,101,-1,262200,0.619385724,0.443219221,Actual
11t,32,-1,312000,0.81344681,0.493967629,Actual
CNTR,34,-1,0,0.626936965,0.461849291,Actual
CNTR,34,-1,0,0.656764961,0.5173599,Actual
CNTR,34,-1,0,0.618354512,0.504459857,Actual
CNTR,34,-1,325000,0.550141874,0.333267183,Actual
CNTR,34,-1,0,0.540937966,0.411815532,Actual
CNTR,34,-1,0,0.455430724,0.332616413,Actual
CNTR,34,-1,0,0.428297713,0.270876844,Actual
CNTR,34,-1,0,0.46172694,0.344979931,Actual
CNTR,34,-1,0,0.540000392,0.401587299,Actual
CNTR,34,-1,0,0.409819402,0.266027509,Actual
11t,33,-1,151000,0.775422286,0.545104037,Actual
11t,32,-1,NA,0.074930672,0.06485963,Actual
11t,33,-1,151000,0.487126781,0.413149176,Actual
11t,33,-1,271000,0.569471971,0.325769242,Actual
11t,32,-1,NA,0.7328069,0.437974593,Actual
11t,85,-1,159000,0.847806896,0.592623971,Actual
11t,85,-1,159000,0.812591492,0.58833112,Actual
11t,85,-1,159000,0.727405215,0.496916305,Actual
11t,85,-1,159000,0.824327534,0.546330883,Actual
11t,85,-1,159000,0.456671918,0.301702981,Actual
11t,85,-1,220900,0.851837476,0.613559659,Actual
CNTR,34,-1,325000,0.69043938,0.397503853,Actual
11t,85,-1,220900,0.84647629,0.590435708,Actual
11t,85,-1,220900,0.81105783,0.564554505,Actual
11t,85,-1,220900,0.822245803,0.579395208,Actual
11t,85,-1,282700,0.766611065,0.559277527,Actual
11t,85,-1,220900,0.775224608,0.560571996,Actual
11t,85,-1,220900,0.824927061,0.568513618,Actual
11t,85,-1,220900,0.71376033,0.508097088,Actual
11t,85,-1,176700,0.829216049,0.589741729,Actual
11t,85,-1,159000,0.717255481,0.520642711,Actual
11t,85,-1,220900,0.769124968,0.545531805,Actual
11t,85,-1,159000,0.755767935,0.515235333,Actual
11t,85,-1,220900,0.840000036,0.584836691,Actual
11t,85,-1,282700,0.831843743,0.570744051,Actual
11t,85,-1,220900,0.747410581,0.516699317,Actual
11t,85,-1,220900,0.551052492,0.384075209,Actual
11t,85,-1,263200,0.539012823,0.358845905,Actual
11t,85,-1,220900,0.800986232,0.532361289,Actual
11t,85,-1,220900,0.888031291,0.630193796,Actual
11t,85,-1,220900,0.806092461,0.54762603,Actual
11t,85,-1,220900,0.672997967,0.457288565,Actual
11t,85,-1,282700,0.530748391,0.353199485,Actual
11t,85,-1,220900,0.443368417,0.298398695,Actual
11t,85,-1,220900,0.75290916,0.507755579,Actual
11t,85,-1,220900,0.620243205,0.403537011,Actual
11t,85,-1,176700,0.445542398,0.283138026,Actual
11t,85,-1,159000,0.404077256,0.259137176,Actual
11t,85,-1,220900,0.251526944,0.164510633,Actual
11t,85,-1,159000,0.267636584,0.1659505,Actual
11t,85,-1,220900,0.202494383,0.121954075,Actual
11t,85,-1,282700,0.196277459,0.125586131,Actual
5t,85,-1,203200,0.367735127,0.229921767,Actual
11t,85,-1,220900,0.432313261,0.264524464,Actual
11t,85,-1,220900,0.429240984,0.268741807,Actual
1t,85,-1,145700,2.662213382,1.626605589,Actual
11t,85,-1,220900,0.350637979,0.213074448,Actual
11t,85,-1,282700,0.276993,0.174829813,Actual
11t,85,-1,220900,0.348414393,0.228714113,Actual
11t,102,-1,NA,0.502404832,0.203033033,Actual
11t,102,-1,NA,0.197167124,0.177079151,Actual
11t,102,-1,NA,0.389320313,0.189354495,Actual
11t,102,-1,NA,0.46142072,0.168902081,Actual
CNTR,34,-1,0,0.669193342,0.492477338,Actual
CNTR,34,-1,0,0.527712601,0.389990007,Actual
CNTR,34,-1,0,0.522424418,0.335470287,Actual
11t,32,-1,NA,0.111765526,0.092779021,Actual
CNTR,34,-1,0,0.596776596,0.440800955,Actual
CNTR,34,-1,0,0.584479863,0.436196757,Actual
CNTR,34,-1,0,0.563536018,0.384252677,Actual
CNTR,34,-1,0,0.518294266,0.384728869,Actual
11t,81,-1,NA,0.726623903,0.35314066,Actual
11t,80,-1,250000,0.721696333,0.435003799,Actual
11t,80,-1,150000,0.540159828,0.372713926,Actual
11t,80,-1,155000,0.357934336,0.226413376,Actual
11t,80,-1,150000,0.42192589,0.274448278,Actual
11t,80,-1,150000,0.322280559,0.195957166,Actual
11t,80,-1,150000,0.201586743,0.110840014,Actual
11t,80,-1,138000,0.550930857,0.391944547,Actual
11t,80,-1,138000,0.215531332,0.120893042,Actual
11t,80,-1,150000,0.160460414,0.093111276,Actual
11t,80,-1,150000,0.423352968,0.262542761,Actual
11t,80,-1,154000,0.506261651,0.361621815,Actual
11t,80,-1,154000,0.242992611,0.146787447,Actual
11t,80,-1,154000,0.215781906,0.125901567,Actual
11t,80,-1,138000,0.300841688,0.175318319,Actual
11t,80,-1,138000,0.017378628,0.006317641,Actual
5t,33,-1,115000,1.428652667,0.875413314,Actual
11t,80,-1,138000,0.570125726,0.400638346,Actual
11t,33,-1,139000,0.795830272,0.508035681,Actual
5t,80,-1,108000,0.141976065,0.074578625,Actual
11t,33,-1,271000,0.251894487,0.148522756,Actual
11t,80,-1,155000,0.38601839,0.245765257,Actual
11t,80,-1,167000,0.166784115,0.092521675,Actual
11t,80,-1,127000,0.379043681,0.235138017,Actual
11t,80,-1,127000,0.005842722,0.002241344,Actual
11t,80,-1,155000,0.521547287,0.392542451,Actual
11t,80,-1,155000,0.300037788,0.172873569,Actual
11t,80,-1,155000,0.19072094,0.106632945,Actual
11t,80,-1,155000,0.508650323,0.302250273,Actual
11t,80,-1,134000,0.433055524,0.291989755,Actual
11t,80,-1,155000,0.208684603,0.127913261,Actual
11t,80,-1,155000,0.0771373,0.041230202,Actual
11t,80,-1,155000,0.290248794,0.182721961,Actual
11t,80,-1,134000,0.163986287,0.093093662,Actual
11t,80,-1,150000,0.447449806,0.289650677,Actual
11t,80,-1,150000,0.175371664,0.100443666,Actual
11t,80,-1,150000,0.504728219,0.306858624,Actual
11t,80,-1,140000,0.39965107,0.247451127,Actual
11t,80,-1,140000,0.096158043,0.05098668,Actual
CNTR,34,-1,0,0.485754461,0.363906235,Actual
11t,80,-1,160000,0.035296634,0.030347333,Actual
11t,80,-1,160000,0.048862628,0.037854026,Actual
11t,80,-1,160000,0.06821364,0.037033867,Actual
11t,80,-1,160000,0.056152779,0.027221401,Actual
5t,81,-1,130000,1.018661169,0.563414149,Actual
11t,81,-1,143000,0.615068837,0.354497179,Actual
11t,81,-1,142000,0.827056884,0.471108573,Actual
11t,81,-1,136000,0.595415635,0.337616099,Actual
11t,81,-1,148000,0.573077128,0.32651562,Actual
11t,81,-1,143000,0.484572485,0.302337098,Actual
11t,81,-1,138000,0.383324898,0.207657475,Actual
11t,81,-1,135000,0.366554201,0.200429572,Actual
5t,81,-1,115000,0.739224173,0.422565146,Actual
11t,32,-1,NA,0.772057698,0.46606496,Actual
11t,32,-1,NA,0.224125536,0.181692249,Actual
11t,81,-1,NA,0.758164967,0.369757453,Actual
11t,34,-1,245000,0.721654662,0.408680022,Actual
11t,33,-1,139000,0.722216549,0.432963351,Actual
5t,33,-1,115000,0.287477252,0.174084322,Actual
11t,32,-1,NA,0.654897192,0.358195162,Actual
CNTR,34,-1,0,0.380686173,0.293648523,Actual
CNTR,34,-1,0,0.404979954,0.294126146,Actual
CNTR,34,-1,0,0.439068383,0.328189255,Actual
CNTR,34,-1,0,0.436559588,0.324802441,Actual
CNTR,34,-1,0,0.438755331,0.276896425,Actual
CNTR,34,-1,0,0.17894997,0.097658534,Actual
11t,101,-1,119000,0.315461458,0.173907368,Actual
11t,81,-1,NA,0.565328739,0.276136209,Actual
11t,81,-1,159000,0.49490172,0.274148287,Actual
11t,81,-1,140000,0.300079384,0.163307097,Actual
11t,81,-1,147000,0.361537731,0.206251276,Actual
11t,81,-1,135000,0.432806273,0.240916225,Actual
11t,32,-1,NA,0.544325711,0.315471208,Actual
11t,80,-1,250000,0.623022561,0.409021144,Actual
11t,80,-1,250000,0.527491909,0.399341325,Actual
