truck,fromid,toid,fee,gross,net,scenorio
11t,101,80,119000,0.790359042,0.596528462,Actual
11t,80,85,250000,0.678479934,0.434962277,Actual
11t,32,81,NA,0.688925063,0.601794953,Actual
11t,33,85,271000,0.454085666,0.285075087,Actual
11t,33,81,151000,0.786927748,0.55151727,Actual
CNTR,34,85,0,0.483892986,0.359499692,Actual
CNTR,34,85,0,0.60681166,0.456126328,Actual
CNTR,34,85,0,0.487592852,0.332721995,Actual
5t,32,72,260000,0.37024456,0.197024462,Actual
11t,32,51,325000,0.29985515,0.154014704,Actual
11t,32,57,325000,0.238393899,0.125448427,Actual
11t,32,74,3.00E+05,0.273751221,0.141679008,Actual
5t,32,73,3.00E+05,0.648998866,0.404485756,Actual
11t,32,64,310000,0.635856418,0.330242079,Actual
11t,32,52,325000,0.262149689,0.135822456,Actual
5t,32,67,165000,0.423396748,0.219468085,Actual
11t,32,43,220000,0.427234537,0.220302699,Actual
5t,32,77,3.00E+05,0.615938161,0.324924514,Actual
11t,32,42,380000,0.308381979,0.160165779,Actual
5t,32,68,3.00E+05,0.438987239,0.230935865,Actual
5t,32,59,305000,0.50627051,0.289424483,Actual
11t,32,53,385000,0.384954905,0.196166761,Actual
11t,32,63,390000,0.200974838,0.104282821,Actual
5t,32,83,280000,0.225665709,0.122290165,Actual
11t,32,86,270000,0.210668842,0.106213536,Actual
5t,32,65,155000,0.459485019,0.2345936,Actual
CNTR,34,85,0,0.448421451,0.312161528,Actual
11t,81,50,143000,0.652426753,0.394330611,Actual
11t,81,44,148000,0.425398949,0.223059775,Actual
11t,85,52,159000,0.82588782,0.572934976,Actual
11t,85,72,176700,0.705449287,0.492629932,Actual
11t,85,74,159000,0.771645565,0.541710467,Actual
11t,85,64,159000,0.740835907,0.544315931,Actual
11t,85,63,220900,0.812430726,0.579554195,Actual
11t,85,53,220900,0.805861545,0.594095033,Actual
11t,85,67,220900,0.765789891,0.53178521,Actual
11t,85,43,220900,0.775031244,0.566961405,Actual
11t,85,83,263200,0.80595365,0.570256193,Actual
11t,85,51,282700,0.884895051,0.636901505,Actual
11t,85,57,282700,0.744872932,0.523580782,Actual
11t,85,68,220900,0.80773887,0.544901574,Actual
11t,85,42,220900,0.777661301,0.546979807,Actual
11t,85,73,220900,0.809487068,0.578395014,Actual
11t,85,77,220900,0.728000261,0.536105664,Actual
11t,85,59,220900,0.841522589,0.597820627,Actual
11t,85,65,220900,0.775642812,0.548363899,Actual
11t,85,86,220900,0.789625871,0.557544036,Actual
11t,81,58,143000,0.615662428,0.374466739,Actual
CNTR,34,85,0,0.400354318,0.286151525,Actual
11t,81,61,136000,0.393978786,0.230151326,Actual
11t,81,69,135000,0.567877875,0.332244632,Actual
11t,81,32,NA,0.375046287,0.188978534,Actual
11t,81,70,135000,0.596551676,0.364704949,Actual
11t,81,78,148000,0.34059328,0.197604031,Actual
11t,81,55,162000,0.392367483,0.231602359,Actual
11t,81,48,142000,0.462832423,0.281623728,Actual
11t,81,62,143000,0.289420106,0.16696478,Actual
11t,81,41,148000,0.286674816,0.179589706,Actual
11t,81,71,135000,0.318246992,0.184578863,Actual
11t,81,76,138000,0.38826231,0.216460671,Actual
11t,81,88,154000,0.430746455,0.258963914,Actual
11t,81,40,152000,0.159284016,0.09020916,Actual
11t,81,54,164000,0.557975842,0.340748142,Actual
5t,80,41,120000,0.790366802,0.529232944,Actual
11t,80,71,155000,0.21046018,0.135284529,Actual
11t,80,69,150000,0.411159237,0.266833667,Actual
11t,80,75,150000,0.066739714,0.04105808,Actual
11t,80,75,150000,0.05748567,0.037872173,Actual
11t,80,47,138000,0.4696054,0.311528097,Actual
11t,80,85,250000,0.674096186,0.421495755,Actual
11t,80,47,138000,0.006272107,0.0017963,Actual
11t,80,61,150000,0.067562855,0.037397812,Actual
11t,80,58,150000,0.332296324,0.230719077,Actual
11t,80,49,154000,0.18662503,0.124706538,Actual
11t,80,49,154000,0.064498857,0.034655607,Actual
11t,80,40,138000,0.219784129,0.135752514,Actual
11t,80,44,138000,0.299531198,0.199254319,Actual
11t,80,44,138000,0.010732327,0.004952089,Actual
11t,80,76,155000,0.41752466,0.28479184,Actual
11t,85,64,159000,0.880277047,0.622918823,Actual
11t,85,64,159000,0.834402424,0.597666175,Actual
11t,85,64,159000,0.842655138,0.588033533,Actual
11t,80,55,127000,0.126834169,0.07427846,Actual
11t,85,64,159000,0.635881865,0.436357015,Actual
11t,85,43,220900,0.74601295,0.519166909,Actual
CNTR,34,85,0,0.419053065,0.301979822,Actual
11t,80,66,155000,0.382737756,0.278030847,Actual
CNTR,34,85,0,0.505115831,0.359004996,Actual
CNTR,34,85,0,0.661309171,0.494318471,Actual
11t,80,66,155000,0.401026048,0.244522875,Actual
11t,85,53,220900,0.845478729,0.599078095,Actual
11t,85,77,220900,0.827744607,0.594010106,Actual
11t,85,42,220900,0.762124235,0.532281734,Actual
11t,85,51,282700,0.827421793,0.585727265,Actual
11t,80,48,155000,0.326863021,0.22000396,Actual
11t,85,73,220900,0.834983069,0.598033669,Actual
11t,85,67,220900,0.768827116,0.533561376,Actual
11t,80,62,134000,0.35672791,0.238514254,Actual
11t,85,65,220900,0.812676126,0.573974764,Actual
11t,85,59,220900,0.722328981,0.501555703,Actual
11t,85,74,159000,0.748643567,0.524956541,Actual
11t,80,70,155000,0.264762972,0.155751966,Actual
11t,80,60,155000,0.402434427,0.285120328,Actual
11t,85,86,220900,0.663443116,0.465151656,Actual
11t,85,57,282700,0.620867562,0.434028634,Actual
11t,80,78,134000,0.111197719,0.060874459,Actual
11t,85,52,159000,0.761401403,0.541172824,Actual
11t,80,50,150000,0.589916097,0.394572982,Actual
11t,85,68,220900,0.739465244,0.518819781,Actual
11t,85,63,220900,0.419650171,0.29852109,Actual
11t,80,50,150000,0.036480119,0.022690165,Actual
5t,85,83,225600,0.379526069,0.260764491,Actual
11t,85,43,220900,0.734138283,0.50650069,Actual
11t,80,54,150000,0.289443248,0.182209149,Actual
5t,85,53,203200,0.85704051,0.580516358,Actual
11t,85,77,220900,0.711385009,0.487276794,Actual
11t,80,88,140000,0.18331555,0.110311474,Actual
11t,85,42,220900,0.567391025,0.386802435,Actual
11t,85,51,282700,0.378247486,0.261259851,Actual
11t,85,73,220900,0.361992493,0.228763755,Actual
11t,80,89,160000,0.137313604,0.095120468,Actual
11t,85,67,220900,0.433218594,0.283822904,Actual
11t,85,72,176700,0.77974122,0.547726811,Actual
11t,85,65,220900,0.490423629,0.317468511,Actual
11t,85,59,220900,0.131224844,0.084552932,Actual
5t,85,74,141300,0.399659668,0.237091835,Actual
11t,85,86,220900,0.11033108,0.081051301,Actual
11t,85,57,282700,0.200714358,0.14239576,Actual
11t,85,43,220900,0.359896501,0.238482208,Actual
11t,85,53,220900,0.409221503,0.25504889,Actual
11t,85,77,220900,0.282773964,0.178390284,Actual
11t,85,72,176700,0.495697519,0.321330766,Actual
11t,33,80,139000,0.787378793,0.542449002,Actual
11t,33,80,139000,0.652008246,0.423989809,Actual
11t,32,81,NA,0.200551911,0.169948509,Actual
11t,32,81,NA,0.763548311,0.471857938,Actual
11t,102,80,NA,0.532132079,0.211037665,Actual
11t,102,80,NA,0.315701068,0.222187403,Actual
11t,102,85,NA,0.187868212,0.109488332,Actual
11t,102,80,NA,0.331915943,0.115207016,Actual
11t,102,85,NA,0.455948086,0.1660103,Actual
11t,32,32,NA,0.20720581,0.129122633,Actual
CNTR,34,85,0,0.445088545,0.304890314,Actual
CNTR,34,85,0,0.506351288,0.339292974,Actual
CNTR,34,85,0,0.567347308,0.388952064,Actual
11t,81,32,NA,0.188326954,0.113124711,Actual
CNTR,34,85,0,0.439446638,0.317738218,Actual
CNTR,34,85,0,0.489905262,0.380430006,Actual
CNTR,34,85,0,0.507330171,0.391633072,Actual
CNTR,34,85,0,0.521370678,0.343652878,Actual
CNTR,34,85,0,0.082683892,0.059476314,Actual
11t,32,32,NA,0.308556867,0.180270484,Actual
11t,33,80,139000,0.452540075,0.275147594,Actual
11t,34,80,245000,0.313110451,0.169314092,Actual
11t,101,80,119000,0.415713159,0.280147279,Actual
11t,81,32,NA,0.025662733,0.01266583,Actual
11t,32,81,NA,0.814055725,0.450430603,Actual
11t,81,32,NA,0.004225966,0.002095411,Actual
11t,81,32,NA,0.000949172,0.000371638,Actual
11t,80,85,250000,0.44606091,0.268711977,Actual
11t,80,85,250000,0.392514907,0.273398141,Actual
11t,32,81,NA,0.181285748,0.150151572,Actual
11t,32,32,NA,0.398078168,0.243024637,Actual
11t,80,50,150000,0.041793417,0.032980952,Actual
11t,32,81,NA,0.09880224,0.086370645,Actual
CNTR,34,80,325000,0.575637189,0.331210192,Actual
11t,81,49,159000,0.203978006,0.108067145,Actual
11t,81,66,140000,0.177369172,0.094646988,Actual
11t,81,75,135000,0.025952167,0.013931197,Actual
CNTR,34,85,0,0.491498527,0.386062104,Actual
CNTR,34,85,0,0.070987988,0.053277569,Actual
11t,32,32,NA,0.068022404,0.039577237,Actual
11t,32,81,NA,0.341222778,0.183908872,Actual
11t,80,90,160000,0.04895389,0.028991123,Actual
11t,80,46,167000,0.040271988,0.023039952,Actual
11t,81,32,NA,0.025482208,0.012132778,Actual
11t,81,32,NA,0.053128397,0.026811591,Actual
11t,81,89,110000,0.226804885,0.154661841,Actual
11t,81,60,135000,0.16247832,0.087340095,Actual
11t,81,49,159000,0.010787284,0.009377553,Actual
11t,81,66,140000,0.027405008,0.024331288,Actual
11t,32,81,NA,0.182783379,0.162133984,Actual
11t,101,80,119000,0.823288806,0.540808165,Actual
11t,101,85,262200,0.354977539,0.297357744,Actual
11t,33,85,271000,0.826067661,0.486012709,Actual
11t,33,81,151000,0.732400488,0.47183387,Actual
11t,85,52,159000,0.098208467,0.064051871,Actual
11t,85,64,159000,0.245156976,0.173539901,Actual
11t,80,71,155000,0.824836944,0.630476184,Actual
11t,80,41,150000,0.54784414,0.42899396,Actual
11t,80,54,150000,0.919558865,0.73868369,Actual
11t,80,44,138000,0.77251057,0.644925204,Actual
11t,80,88,140000,0.820367682,0.664640416,Actual
11t,80,60,155000,0.788328123,0.606168654,Actual
11t,80,49,154000,0.044191609,0.039237619,Actual
11t,80,62,134000,0.849552294,0.659920607,Actual
11t,80,66,155000,0.350705212,0.276463032,Actual
11t,80,89,160000,0.784914682,0.608165339,Actual
11t,80,90,160000,0.783703947,0.59543569,Actual
11t,80,69,150000,0.903180413,0.735266318,Actual
11t,80,70,155000,0.433473478,0.348345685,Actual
11t,80,48,155000,0.854671098,0.693438238,Actual
11t,80,40,138000,0.733743312,0.60601191,Actual
11t,80,50,150000,0.92023467,0.72342586,Actual
11t,80,58,150000,0.888127675,0.716213415,Actual
11t,80,78,134000,0.817767492,0.65940149,Actual
11t,80,46,167000,0.758689149,0.583255814,Actual
11t,80,76,155000,0.881862081,0.676003681,Actual
11t,80,55,127000,0.885624975,0.710375602,Actual
11t,80,61,150000,0.820435695,0.671208668,Actual
11t,80,75,150000,0.738096991,0.590076451,Actual
CNTR,80,85,312000,0.681779634,0.476531138,Actual
CNTR,80,85,312000,0.729000037,0.492180647,Actual
CNTR,80,85,312000,0.733015638,0.482172533,Actual
11t,81,85,312000,0.310271414,0.157459423,Actual
11t,32,85,312000,0.889774278,0.536323213,Actual
11t,80,66,155000,0.041429172,0.026817987,Actual
11t,85,52,159000,0.741867525,0.514488089,Actual
11t,85,72,176700,0.781140377,0.54899778,Actual
11t,85,74,159000,0.818962443,0.584773594,Actual
11t,85,64,159000,0.715053856,0.523952789,Actual
11t,85,63,220900,0.820033564,0.595387778,Actual
11t,85,53,220900,0.80504484,0.59010588,Actual
11t,85,67,220900,0.8695818,0.617541654,Actual
11t,85,43,220900,0.801756701,0.566292765,Actual
11t,85,83,263200,0.639864867,0.465376483,Actual
11t,85,51,282700,0.874154817,0.617110722,Actual
11t,85,57,282700,0.81108605,0.556522814,Actual
11t,85,68,220900,0.808073172,0.587548722,Actual
11t,85,42,220900,0.85350686,0.61728137,Actual
11t,85,73,220900,0.747624088,0.547171672,Actual
11t,85,77,220900,0.749651599,0.545996034,Actual
11t,85,59,220900,0.868852575,0.612767371,Actual
11t,85,65,220900,0.81982567,0.572064248,Actual
11t,85,86,220900,0.825266169,0.583751366,Actual
11t,80,47,138000,0.294053554,0.234537183,Actual
CNTR,34,85,0,0.629010107,0.480254931,Actual
11t,33,80,139000,0.75633974,0.501037814,Actual
1t,33,44,45000,2.75209344,1.784974796,Actual
CNTR,34,85,0,0.622384675,0.484150043,Actual
11t,32,81,NA,0.629137382,0.407937355,Actual
11t,32,81,NA,0.220481666,0.185390767,Actual
11t,81,69,135000,0.518445427,0.285307913,Actual
11t,81,75,135000,0.579798798,0.334046169,Actual
11t,81,41,148000,0.395622401,0.214118304,Actual
11t,81,54,164000,0.419331319,0.240260824,Actual
11t,81,46,144000,0.618425729,0.349490351,Actual
11t,81,49,159000,0.376108138,0.213004467,Actual
11t,81,47,147000,0.647417401,0.373039174,Actual
11t,81,40,152000,0.383716558,0.218222778,Actual
11t,81,58,143000,0.762216096,0.439749865,Actual
11t,81,44,148000,0.641988196,0.34425514,Actual
11t,81,78,148000,0.392118308,0.218387483,Actual
11t,81,50,143000,0.698172038,0.397340587,Actual
11t,81,62,143000,0.345844187,0.191293774,Actual
11t,81,61,136000,0.500426162,0.283364769,Actual
11t,81,55,162000,0.507661409,0.277382561,Actual
11t,81,70,135000,0.647348136,0.354272848,Actual
11t,81,66,140000,0.57009943,0.33044651,Actual
11t,81,60,135000,0.72617305,0.414427024,Actual
11t,81,89,110000,0.315956121,0.175205762,Actual
11t,81,90,110000,0.393245364,0.233528467,Actual
11t,81,48,142000,0.322699801,0.184427537,Actual
11t,81,71,135000,0.421009653,0.233140335,Actual
11t,81,76,138000,0.56398186,0.308423301,Actual
11t,81,88,154000,0.542343944,0.302716277,Actual
11t,33,81,151000,0.703911051,0.426052988,Actual
CNTR,34,85,0,0.57207348,0.487825749,Actual
11t,101,80,119000,0.713307881,0.484909022,Actual
11t,32,81,NA,0.796268245,0.503006276,Actual
11t,32,81,NA,0.229595489,0.138749809,Actual
CNTR,34,85,0,0.620135867,0.5329864,Actual
11t,32,81,NA,0.239732895,0.213500582,Actual
CNTR,34,85,0,0.637537661,0.547001342,Actual
